brand_name,parent_company_name,year,item_description,type_product,type_material,layer,volunteer,start_of_audit,end_of_audit,time_spent,city,province,country,continent,type_of_audit,specifics_of_audit,event_total_count,longitude_most_specific,latitude_most_specific,location_specificity,total_count,proportion
1.2.3,1.2.3,2019,empaque de aceite,food packaging,pet,single-layer,15.0,2019-09-21,2019-09-21,3.115933014354067,santa catarina morelos,Unknown,mexico,north america,outdoor,inland,619,-102.0077097,23.6585116,state,2,0.0032310177705977
1.2.3,1.2.3,2019,empaque de jabã³n,household products,o,multi-layer,15.0,2019-09-21,2019-09-21,3.115933014354067,santa catarina morelos,Unknown,mexico,north america,outdoor,inland,619,-102.0077097,23.6585116,state,2,0.0032310177705977
1/2 styrofoam car inner bumper,unbranded,2018,Unknown,other,ps,unsure,1.0,2018-09-13,2018-09-13,3.115933014354067,wakulla county florida,Unknown,united states of america,north america,outdoor,coastal,339,-100.445882,39.7837304,state,1,0.0029498525073746
100 grand,nestle,2018,Unknown,other,Unknown,unsure,1.0,2018-09-12,2018-09-12,3.115933014354067,carroboro,nc,united states of america,north america,outdoor,coastal,117,-79.0392919,35.6729639,state,1,0.0085470085470085
100p,100p,2018,Unknown,other,pet,unsure,6.0,2018-09-15,2018-09-15,3.115933014354067,washington,dc,united states of america,north america,outdoor,inland,619,-77.0365427,38.8950368,city,1,0.0016155088852988
12 oz angry orchard bottle,boston beer company,2018,Unknown,other,o,unsure,1.0,2018-09-13,2018-09-13,3.115933014354067,wakulla county florida,Unknown,united states of america,north america,outdoor,coastal,339,-100.445882,39.7837304,state,1,0.0029498525073746
12 oz bottles,unbranded,2018,Unknown,other,pet,unsure,1.0,2018-09-13,2018-09-13,3.115933014354067,wakulla county florida,Unknown,united states of america,north america,outdoor,coastal,339,-100.445882,39.7837304,state,3,0.0088495575221238
12 oz brown beer bottles,unbranded,2018,Unknown,other,o,unsure,1.0,2018-09-13,2018-09-13,3.115933014354067,wakulla county florida,Unknown,united states of america,north america,outdoor,coastal,339,-100.445882,39.7837304,state,17,0.0501474926253687
12 oz dot 3 break fluid bottle,o reilly auto parts,2018,Unknown,other,hdpe,unsure,1.0,2018-09-13,2018-09-13,3.115933014354067,wakulla county florida,Unknown,united states of america,north america,outdoor,coastal,339,-100.445882,39.7837304,state,1,0.0029498525073746
13 oz fudge grams,clover valley dollar general,2018,Unknown,other,ps,unsure,1.0,2018-09-13,2018-09-13,3.115933014354067,wakulla county florida,Unknown,united states of america,north america,outdoor,coastal,339,-100.445882,39.7837304,state,1,0.0029498525073746
15 oz coconut bar wrapper,abimar foods,2018,Unknown,other,ps,unsure,1.0,2018-09-13,2018-09-13,3.115933014354067,wakulla county florida,Unknown,united states of america,north america,outdoor,coastal,339,-100.445882,39.7837304,state,1,0.0029498525073746
16 oz bottles,unbranded,2018,Unknown,other,pet,unsure,1.0,2018-09-13,2018-09-13,3.115933014354067,wakulla county florida,Unknown,united states of america,north america,outdoor,coastal,339,-100.445882,39.7837304,state,12,0.0353982300884956
